Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
MILK ,Liter ,Liter ,1000,48,Dairy,,,,Room Temperature,TRUE,,SARAS ,TRUE,TRUE
MILK TETRA ,Liter ,Liter ,1000,70.29,Dairy,,84,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
CREAM ,Liter ,Liter ,1000,212.21,Dairy,,2.5,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
BUTTER ,Kg ,Kg ,500 ,257.5,Dairy,,5,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
MOZRELLA CHEESE ,Kg ,Kg ,1000,501,Dairy,,,,Room Temperature,FALSE,,,TRUE,TRUE
PANEER JAIN,Kg ,Kg ,1000,360,Dairy,,,,Room Temperature,FALSE,,,TRUE,TRUE
PANEER BARMER,Kg ,Kg ,1000,200,Dairy,,,,Room Temperature,FALSE,,,TRUE,TRUE
BREAD ,Kg ,Kg ,500 ,34,Dairy,,,,Room Temperature,FALSE,,,TRUE,TRUE
BREAD ,Kg ,Kg ,900 ,33,Dairy,,,,Room Temperature,FALSE,,SUPER,TRUE,TRUE
BROWN BREAD ,Kg ,Kg ,500 ,40,Dairy,,,,Room Temperature,FALSE,,,TRUE,TRUE
ICE CREAM BUTTER SCOTCH ,Liter ,Liter ,5000,584,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
ICE CREAM VANILLA ,Liter ,Liter ,5000,519,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
ICE CREAM STRAWBERRY ,Liter ,Liter ,5000,536,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
ICE CREAM CHOCOLATE ,Liter ,Liter ,5000,744,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
ICE CREAM AMERICAN,Liter ,Liter ,5000,739,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
 ICE CREAM FAMILY PACK ,Packet,PACKET,700 ,287,Dairy,,,,Room Temperature,FALSE,,VADILAL ,TRUE,TRUE
CHEESE ,Kg ,Kg ,1000,505,Dairy,,,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
LASSI ,bottle,bottle,200 ,17.57,Dairy,,,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
BUTTER MILK ,bottle,bottle,150 ,13.8,Dairy,,,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
COOL ,bottle,bottle,180 ,21.8,Dairy,,,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
CHEESE SLICE,Packet,PACKET,200 ,129.41,Dairy,,,,Room Temperature,FALSE,,AMUL ,TRUE,TRUE
EGG,piece,PIECE,50 G,4.93,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
CHICKEN ,Kg ,Kg ,1000,172,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
FISH FUNGUS ,Kg ,Kg ,1000,120,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
FISH BASA,Kg ,Kg ,1000,252,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
FISH ROHU ,Kg ,Kg ,1000,160,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
PRAWNS FISH ,Kg ,Kg ,1000,1210,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
MUTTON FRESH ,Kg ,Kg ,1000,210,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
MUTTON CURRY CUT ,Kg ,Kg ,1000,500,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
CHICKEN SAUCE ,Kg ,Kg ,1000,500,Meat,,,,Room Temperature,FALSE,,,TRUE,TRUE
TUNA FISH - IN BRINE ,Liter ,TIN,180 ,125,Meat,,,,Room Temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
ATTA WHEAT ,Kg ,Kg ,30,33.4,Other,,280,,Room Temperature,FALSE,,TAPARIA ,TRUE,TRUE
MAIDA ,Kg ,Kg ,45,35,Other,,18,,Room Temperature,FALSE,,TAPARIA ,TRUE,TRUE
BESAN ,Kg ,Kg ,1000,90,Other,,15,,Room Temperature,FALSE,,TAPARIA ,TRUE,TRUE
BESAN ,Kg ,Kg ,1000,94.5,Other,,,,Room Temperature,FALSE,,TAPARIA ,TRUE,TRUE
CORN Others,Kg ,Kg ,1000,60,Other,,2,,Room Temperature,FALSE,,,TRUE,TRUE
ATTA 00 PIZA FLOUR,Kg ,Kg ,1000,135,Other,,,,Room Temperature,FALSE,,,TRUE,TRUE
"MANGO,APPLE",Liter ,Liter ,1000,86.25,Beverages,,,,Room Temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
"PINEAPPLE, MIX, ORANGE",Liter ,Liter ,1000,97.49,Beverages,,,,Room Temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
GUAVA ,Liter ,Liter ,1000,90,Beverages,,,,Room Temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
MIX FRUIT JUICE ,Liter ,Liter ,1200,66.66,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
MIX FRUIT JUICE ,Liter ,Liter ,600 ,31.79,Beverages,,,,Room Temperature,FALSE,,PAPER BOAT ,TRUE,TRUE
JUICE  125 ML,Liter ,Liter ,125 ,8.67,Beverages,,600,,Room Temperature,FALSE,,PAPER BOAT ,TRUE,TRUE
MANGO JUICE ,Liter ,Liter ,125 ,8.67,Beverages,,,,Room Temperature,FALSE,,MAAZA ,TRUE,TRUE
COLD DRINK ,bottle,bottle,2500,92.22,Beverages,,,,Room Temperature,FALSE,,COCA COLA ,TRUE,TRUE
COLD DRINK ,bottle,bottle,1000,75.55,Beverages,,,,Room Temperature,FALSE,,COCA COLA ,TRUE,TRUE
COLD DRINK ,bottle,bottle,250 ,18.21,Beverages,,,,Room Temperature,FALSE,,COCA COLA ,TRUE,TRUE
SODA ,bottle,bottle,750 ,15,Beverages,,,,Room Temperature,FALSE,,KINLEY ,TRUE,TRUE
SODA ,bottle,bottle,300 ,9.17,Beverages,,,,Room Temperature,FALSE,,PEPSI,TRUE,TRUE
WATER MINERAL,bottle,bottle,1000,9.16,Beverages,,,,Room Temperature,FALSE,,BISLERI ,TRUE,TRUE
 WATER MINERAL,bottle,bottle,500 ,6.66,Beverages,,,,Room Temperature,FALSE,,BISLERI ,TRUE,TRUE
 WATER MINERAL,bottle,bottle,250 ,5,Beverages,,,,Room Temperature,FALSE,,BISLERI ,TRUE,TRUE
BISCUIT RS 5,Packet,PACKET ,1,4.54,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
BISCUIT RS 10,Packet,PACKET ,1,8.6,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
NAMKEEN RS 5,Packet,PACKET ,1,3.95,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
NAMKEEN RS 10,Packet,PACKET ,1,7.55,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
MUESLI ,Packet,PACKET ,1000,602,Beverages,,,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
LAYS ,Packet,PACKET ,1,9,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
KURKURE ,Packet,PACKET ,1,9,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
NAMKEEN,Packet,PACKET ,400 ,90,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
BISCUIT RS 25 ,Packet,PACKET ,1,19,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
JEERA  DRINK,bottle,bottle,1,8.67,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
MUESLI ,Packet,PACKET ,500 ,313,Beverages,,8,,Room Temperature,FALSE,,BAGRRY'S,TRUE,TRUE
COCA COLA,can,can,300 ,40,Beverages,,,,Room Temperature,FALSE,,COKE,TRUE,TRUE
RED BULL ENERGY DRINK,can,can,1,92.62,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
TONIC WATER,can,can,1,46.62,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
KHUSH SHARBAT,bottle,bottle,1000,227,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
ROSE MARRY,Packet,PACKET,250 ,180,Beverages,,,,Room Temperature,FALSE,0,,TRUE,TRUE
ROSE SHARBAT,bottle,bottle,1000,312,Beverages,,,,Room Temperature,FALSE,0,,TRUE,TRUE
THANDAI,bottle,bottle,1000,345,Beverages,,,,Room Temperature,FALSE,,,TRUE,TRUE
KITCHEN KING ,Packet,PACKET ,100 ,63.65,Spices,,14,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
CHOLE MASALA ,Packet,PACKET ,100 ,62.31,Spices,,2,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
CHAT MASALA ,Packet,PACKET ,100 ,60.3,Spices,,3,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
MEAT MASALA ,Packet,PACKET ,100 ,65,Spices,,2,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
CHICKEN MASALA ,Packet,PACKET ,100 ,65,Spices,,5,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
SALT ,Packet,PACKET ,1   ,25,Spices,,,,Room Temperature,FALSE,,TATA ,TRUE,TRUE
SALT ,Packet,PACKET ,1   ,13.7,Spices,,14,,Room Temperature,FALSE,,NIRMA ,TRUE,TRUE
SALT ,Packet,PACKET ,1   ,6.64,Spices,,,,Room Temperature,FALSE,,TAPARIA ,TRUE,TRUE
SALT SANDHA,Packet,PACKET,1   ,34,Spices,,,,Room Temperature,FALSE,,,TRUE,TRUE
BRIYANI MASALA ,Packet,PACKET ,50  ,61,Spices,,1,,Room Temperature,FALSE,,CATCH ,TRUE,TRUE
TEA MASALA ,Packet,PACKET ,50  ,49,Spices,,,,Room Temperature,FALSE,,CATCH ,TRUE,TRUE
HING ,bottle,bottle,100 ,188,Spices,,3,,Room Temperature,FALSE,,CATCH ,TRUE,TRUE
KASHMIRI LAL RED CHILLI POWDER ,Kg ,Kg ,1000,640,Spices,,3,,Room Temperature,FALSE,,CATCH ,TRUE,TRUE
RAJMA MASALA ,Packet,PACKET ,100 ,64,Spices,,1,,Room Temperature,FALSE,,CATCH ,TRUE,TRUE
