Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Almond Paste,packet,packet,1.0,888.24,Bakery,,0.0,0,room_temperature,False,,CELEBRE,True,True
Almoud Special,piece,packet,1.0,468.0,Bakery,,0.0,0,room_temperature,False,,LEZ,True,True
Alphabet Mix Sprinkle,packet,packet,1.0,208.0,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Baking Powder,packet,packet,1.0,30.0,Bakery,,0.0,0,room_temperature,False,,WEIKFIELD,True,True
Baking Soda,packet,packet,1.0,59.72,Bakery,,0.0,0,room_temperature,False,,WEIKFIELD,True,True
Biscoff Spred,packet,packet,1.0,480.0,Bakery,,0.0,0,room_temperature,False,,LOTUS,True,True
Black Current Crush,liter,bottle,1.0,190.0,Bakery,,0.0,0,room_temperature,False,,MORDE,True,True
Blanced Almond Powder,packet,packet,1.0,1100.0,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Blanced Sliced Almond,packet,packet,1.0,1280.0,Bakery,,0.0,0,room_temperature,False,,RICH'S,True,True
Blueberry Frozen,packet,packet,1.0,1516.67,Bakery,,0.0,0,room_temperature,False,,DIRA,True,True
Blueberry Puree,packet,packet,1.0,1400.0,Bakery,,0.0,0,room_temperature,False,,DIRA,True,True
Butterscotch Nuts 1Kg,piece,packet,1.0,180.0,Bakery,,0.0,0,room_temperature,False,,CHOCOVILLE,True,True
Bv Caramel Syrup,packet,packet,1.0,240.0,Bakery,,0.0,0,room_temperature,False,,RICH'S,True,True
Bv Chocolate Syrup,packet,packet,1.0,240.0,Bakery,,0.0,0,room_temperature,False,,RICH'S,True,True
Calcium Powder,packet,packet,1.0,480.0,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Caster Sugar,packet,packet,1.0,75.0,Bakery,,0.0,0,room_temperature,False,,UTTAM,True,True
Choco Wafer Rolls,packet,packet,1.0,80.0,Bakery,,0.0,0,room_temperature,False,,MICS,True,True
Chocolate Gel,packet,packet,1.0,228.0,Bakery,,0.0,0,room_temperature,False,,PURIX,True,True
Classic Bag,packet,packet,1.0,1550.0,Bakery,,0.0,0,room_temperature,False,,NESCAFE,True,True
Classic Breakfast Sugar,packet,packet,1.0,75.0,Bakery,,0.0,0,room_temperature,False,,TRUST,True,True
Cocoa Powder,packet,packet,1.0,1080.0,Bakery,,0.0,0,room_temperature,False,,VAN HOUTEN PROFESSIONAL,True,True
Dark Chocolate (D45),piece,packet,1.0,486.0,Bakery,,0.0,0,room_temperature,False,,MORDE,True,True
Dark Chocolate 46.5%,packet,packet,1.0,1050.0,Bakery,,0.0,0,room_temperature,False,,VAN HOUTEN PROFESSIONAL,True,True
Dark Compound Chips,packet,packet,1.0,394.44,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Dry Yeast,packet,packet,1.0,170.35,Bakery,,0.0,0,room_temperature,False,,ANGEL,True,True
Egg Free Red Velvetcake Mix,packet,packet,1.0,1500.0,Bakery,,0.0,0,room_temperature,False,,CALPRO,True,True
Feuilletine French Biscuit,packet,packet,1.0,160.0,Bakery,,0.0,0,room_temperature,False,,MICS,True,True
Glaze Chocolate,packet,packet,1.0,400.0,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Glucose Syrup,packet,packet,1.0,181.42,Bakery,,0.0,0,room_temperature,False,,PURIX,True,True
Gold Brown Sugar,packet,packet,1.0,120.0,Bakery,,0.0,0,room_temperature,False,,TRUST,True,True
Hazelnut Choco Spread,packet,packet,1.0,252.0,Bakery,,0.0,0,room_temperature,False,,RICH'S,True,True
Hazelnut Kernal,packet,packet,1.0,1143.75,Bakery,,0.0,0,room_temperature,False,,RAPLAP,True,True
Icing Sugar,packet,packet,1.0,70.49,Bakery,,0.0,0,room_temperature,False,,UTTAM,True,True
