Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Milk ,liter,bottle,1000,48,Dairy ,,108,0,room_temperature,TRUE,,SARAS ,TRUE,TRUE
Milk Tetra ,liter,bottle,1000,70.29,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cream ,liter,bottle,1000,212.21,Dairy ,,1,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Butter ,kg,packet,500,257.5,Dairy ,,20,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Mozrella Cheese ,kg,packet,1000,501,Dairy ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Paneer Jain,kg,packet,1000,360,Dairy ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Paneer Barmer,kg,packet,1000,200,Dairy ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Bread ,kg,packet,500,34,Dairy ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Bread ,kg,packet,900,33,Dairy ,,,0,room_temperature,FALSE,,SUPER,TRUE,TRUE
Brown Bread ,kg,packet,500,40,Dairy ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Ice Cream Butter Scotch ,liter,bottle,5000,584,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Vanilla ,liter,bottle,5000,519,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Strawberry ,liter,bottle,5000,536,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Chocolate ,liter,bottle,5000,744,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream American,liter,bottle,5000,739,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
 Ice Cream Family Pack ,packet,packet,700,287,Dairy ,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Cheese ,kg,packet,1000,505,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Lassi ,liter,bottle,200,17.57,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Butter Milk ,liter,bottle,150,13.8,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cool ,liter,bottle,180,21.8,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cheese Slice,packet,packet,200,129.41,Dairy ,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Egg,piece,individual,50,4.93,Non veg,,5000,0,room_temperature,FALSE,,,TRUE,TRUE
Chicken ,kg,packet,1000,172,Non veg,,160,0,room_temperature,FALSE,,,TRUE,TRUE
Fish Fungus ,kg,packet,1000,120,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Fish Basa,kg,packet,1000,252,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Fish Rohu ,kg,packet,1000,160,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Prawns Fish ,kg,packet,1000,1210,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mutton Fresh ,kg,packet,1000,210,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mutton Curry Cut ,kg,packet,1000,500,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Chicken Sauce ,kg,packet,1000,500,Non veg,,,0,room_temperature,FALSE,,,TRUE,TRUE
Tuna Fish - In Brine ,can,can,180,125,Non veg,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Atta Wheat ,kg,packet,30,33.4,Flour ,,1050,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Maida ,kg,packet,45,35,Flour ,,135,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Besan ,kg,packet,1000,90,Flour ,,55,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Besan ,kg,packet,1000,94.5,Flour ,,,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Corn Flour ,kg,packet,1000,60,Flour ,,4,0,room_temperature,FALSE,,,TRUE,TRUE
Atta 00 Piza Flour,kg,packet,1000,135,Flour ,,,0,room_temperature,FALSE,,,TRUE,TRUE
"Mango,Apple",liter,bottle,1000,86.25,Beverages biscuits ,,,0,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
"Pineapple, Mix, Orange",liter,bottle,1000,97.49,Beverages biscuits ,,,0,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
Guava ,liter,bottle,1000,90,Beverages biscuits ,,,0,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
Mix Fruit Juice ,liter,bottle,1200,66.66,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
