Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Milk ,liter,bottle,1000,48.0,Dairy,,120.0,0.0,room_temperature,True,,SARAS ,True,True
Milk Tetra ,liter,bottle,1000,70.29,Dairy,,0.0,0.0,room_temperature,False,,AMUL ,True,True
Cream ,liter,bottle,1000,212.21,Dairy,,4.0,0.0,room_temperature,False,,AMUL ,True,True
Butter ,kg,packet,500,257.5,Dairy,,5.0,0.0,room_temperature,False,,AMUL ,True,True
Mozrella Cheese ,kg,packet,1000,501.0,Dairy,,0.0,0.0,room_temperature,False,,,True,True
Paneer Jain,kg,packet,1000,360.0,Dairy,,0.0,0.0,room_temperature,False,,,True,True
Paneer Barmer,kg,packet,1000,200.0,Dairy,,10.0,0.0,room_temperature,False,,,True,True
Bread ,kg,packet,500,34.0,Dairy,,0.0,0.0,room_temperature,False,,,True,True
Bread ,kg,packet,900,33.0,Dairy,,6.0,0.0,room_temperature,False,,SUPER,True,True
Brown Bread ,kg,packet,500,40.0,Dairy,,0.0,0.0,room_temperature,False,,,True,True
Ice Cream Butter Scotch ,liter,bottle,5000,584.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Vanilla ,liter,bottle,5000,519.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Strawberry ,liter,bottle,5000,536.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream Chocolate ,liter,bottle,5000,744.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
Ice Cream American,liter,bottle,5000,739.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
 Ice Cream Family Pack ,packet,packet,700,287.0,Dairy,,0.0,0.0,room_temperature,False,,VADILAL ,True,True
Cheese ,kg,packet,1000,505.0,Dairy,,1.0,0.0,room_temperature,False,,AMUL ,True,True
Lassi ,liter,bottle,200,17.57,Dairy,,0.0,0.0,room_temperature,False,,AMUL ,True,True
Butter Milk ,liter,bottle,150,13.8,Dairy,,0.0,0.0,room_temperature,False,,AMUL ,True,True
Cool ,liter,bottle,180,21.8,Dairy,,0.0,0.0,room_temperature,False,,AMUL ,True,True
Cheese Slice,packet,packet,200,129.41,Dairy,,0.0,0.0,room_temperature,False,,AMUL ,True,True
Egg,piece,individual,50,4.93,Non_veg,,100.0,0.0,room_temperature,False,,,True,True
Chicken ,kg,packet,1000,172.0,Non_veg,,30.0,0.0,room_temperature,False,,,True,True
Fish Fungus ,kg,packet,1000,120.0,Non_veg,,0.0,0.0,room_temperature,False,,,True,True
