Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Milk ,liter,bottle,1,48,Dairy,,,,room_temperature,TRUE,,SARAS ,TRUE,TRUE
Milk Tetra ,liter,bottle,1,70.29,Dairy,,,387,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cream ,liter,bottle,1,212.21,Dairy,,,118,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Butter ,kg,packet,0.5,257.5,Dairy,,,309,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Mozrella Cheese ,kg,packet,1,501,Dairy,,,2,room_temperature,FALSE,,,TRUE,TRUE
Paneer Jain,kg,packet,1,360,Dairy,,,,room_temperature,FALSE,,,TRUE,TRUE
Paneer Barmer,kg,packet,1,200,Dairy,,,,room_temperature,FALSE,,,TRUE,TRUE
Bread ,kg,packet,0.5,34,Dairy,,,,room_temperature,FALSE,,,TRUE,TRUE
Bread ,kg,packet,0.9,33,Dairy,,,,room_temperature,FALSE,,SUPER,TRUE,TRUE
Brown Bread ,kg,packet,0.5,40,Dairy,,,,room_temperature,FALSE,,,TRUE,TRUE
Ice Cream Butter Scotch ,liter,bottle,5,584,Dairy,,,7,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Vanilla ,liter,bottle,5,519,Dairy,,,3,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Strawberry ,liter,bottle,5,536,Dairy,,,5,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream Chocolate ,liter,bottle,5,744,Dairy,,,7,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Ice Cream American,liter,bottle,5,739,Dairy,,,0,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
 Ice Cream Family Pack ,packet,packet,1,287,Dairy,,,19,room_temperature,FALSE,,VADILAL ,TRUE,TRUE
Cheese ,kg,packet,1,505,Dairy,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Lassi ,liter,bottle,0.2,17.57,Dairy,,,180,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Butter Milk ,liter,bottle,0.15,13.8,Dairy,,,420,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cool ,liter,bottle,0.18,21.8,Dairy,,,120,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Cheese Slice,packet,packet,1,129.41,Dairy,,,0,room_temperature,FALSE,,AMUL ,TRUE,TRUE
Egg,piece,individual,1,4.93,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Chicken ,kg,packet,1,172,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Fish Fungus ,kg,packet,1,120,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Fish Basa,kg,packet,1,252,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Fish Rohu ,kg,packet,1,160,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Prawns Fish ,kg,packet,1,1210,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Mutton Fresh ,kg,packet,1,210,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Mutton Curry Cut ,kg,packet,1,500,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Chicken Sauce ,kg,packet,1,500,Non_veg,,,,room_temperature,FALSE,,,TRUE,TRUE
Tuna Fish - In Brine ,can,can,1,125,Non_veg,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Atta Wheat ,kg,packet,0.03,33.4,Flour,,,1440,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Maida ,kg,packet,0.045,35,Flour,,,405,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Besan ,kg,packet,1,90,Flour,,,0,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Besan ,kg,packet,1,94.5,Flour,,,150,room_temperature,FALSE,,TAPARIA ,TRUE,TRUE
Corn Flour ,kg,packet,1,60,Flour,,,28,room_temperature,FALSE,,,TRUE,TRUE
Atta 00 Piza Flour,kg,packet,1,135,Flour,,,40,room_temperature,FALSE,,,TRUE,TRUE
"Mango,Apple",liter,bottle,1,86.25,Beverages_biscuits,,,27,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
"Pineapple, Mix, Orange",liter,bottle,1,97.49,Beverages_biscuits,,,74,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
Guava ,liter,bottle,1,90,Beverages_biscuits,,,,room_temperature,FALSE,,REAL FRUIT JUICE ,TRUE,TRUE
Mix Fruit Juice ,liter,bottle,1.2,66.66,Beverages_biscuits,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mix Fruit Juice ,liter,bottle,0.6,31.79,Beverages_biscuits,,,700,room_temperature,FALSE,,PAPER BOAT ,TRUE,TRUE
Juice  125 Ml,liter,bottle,0.125,8.67,Beverages_biscuits,,,4446,room_temperature,FALSE,,PAPER BOAT ,TRUE,TRUE
Mango Juice ,liter,bottle,0.125,8.67,Beverages_biscuits,,,0,room_temperature,FALSE,,MAAZA ,TRUE,TRUE
Cold Drink ,liter,bottle,2.5,92.22,Beverages_biscuits,,,14,room_temperature,FALSE,,COCA COLA ,TRUE,TRUE
Cold Drink ,liter,bottle,1,75.55,Beverages_biscuits,,,0,room_temperature,FALSE,,COCA COLA ,TRUE,TRUE
Cold Drink ,liter,bottle,0.25,18.21,Beverages_biscuits,,,188,room_temperature,FALSE,,COCA COLA ,TRUE,TRUE
Soda ,liter,bottle,0.75,15,Beverages_biscuits,,,216,room_temperature,FALSE,,KINLEY ,TRUE,TRUE
Soda ,liter,bottle,0.3,9.17,Beverages_biscuits,,,0,room_temperature,FALSE,,PEPSI,TRUE,TRUE
Water Mineral,liter,bottle,1,9.16,Beverages_biscuits,,,2040,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
 Water Mineral,liter,bottle,0.5,6.66,Beverages_biscuits,,,0,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
 Water Mineral,liter,bottle,0.25,5,Beverages_biscuits,,,4560,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
Biscuit Rs 5,packet,packet,1,4.54,Beverages_biscuits,,,408,room_temperature,FALSE,,,TRUE,TRUE
Biscuit Rs 10,packet,packet,1,8.6,Beverages_biscuits,,,9300,room_temperature,FALSE,,,TRUE,TRUE
Namkeen Rs 5,packet,packet,1,3.95,Beverages_biscuits,,,3744,room_temperature,FALSE,,,TRUE,TRUE
Namkeen Rs 10,packet,packet,1,7.55,Beverages_biscuits,,,2800,room_temperature,FALSE,,,TRUE,TRUE
Muesli ,packet,packet,1,602,Beverages_biscuits,,,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Lays ,packet,packet,1,9,Beverages_biscuits,,,405,room_temperature,FALSE,,,TRUE,TRUE
Kurkure ,packet,packet,1,9,Beverages_biscuits,,,0,room_temperature,FALSE,,,TRUE,TRUE
Namkeen,packet,packet,1,90,Beverages_biscuits,,,0,room_temperature,FALSE,,,TRUE,TRUE
Biscuit Rs 25 ,packet,packet,1,19,Beverages_biscuits,,,720,room_temperature,FALSE,,,TRUE,TRUE
Jeera  Drink,liter,bottle,0.001,8.67,Beverages_biscuits,,,150,room_temperature,FALSE,,,TRUE,TRUE
Muesli ,packet,packet,1,313,Beverages_biscuits,,,4,room_temperature,FALSE,,BAGRRY'S,TRUE,TRUE
